"","Survived","Pclass","Sex","Age","Fare","Embarked"
"76","Muere","Baja","male","Adulto",7.65,"S"
"77","Muere","Baja","male","Adulto",7.8958,"S"
"78","Muere","Baja","male","Adulto",8.05,"S"
"79","Sobrevive","Media","male","niño",29,"S"
"80","Sobrevive","Baja","female","Adulto",12.475,"S"
"81","Muere","Baja","male","Adulto",9,"S"
"82","Sobrevive","Baja","male","Adulto",9.5,"S"
"83","Sobrevive","Baja","female","Adulto",7.7875,"Q"
"84","Muere","Alta","male","Adulto",47.1,"S"
"85","Sobrevive","Media","female","niño",10.5,"S"
"86","Sobrevive","Baja","female","Adulto",15.85,"S"
"87","Muere","Baja","male","niño",34.375,"S"
"88","Muere","Baja","male","Adulto",8.05,"S"
"89","Sobrevive","Alta","female","Adulto",263,"S"
"90","Muere","Baja","male","Adulto",8.05,"S"
"91","Muere","Baja","male","Adulto",8.05,"S"
"92","Muere","Baja","male","Adulto",7.8542,"S"
"93","Muere","Alta","male","Adulto",61.175,"S"
"94","Muere","Baja","male","Adulto",20.575,"S"
"95","Muere","Baja","male","Adulto",7.25,"S"
"96","Muere","Baja","male","Adulto",8.05,"S"
"97","Muere","Alta","male","Adulto",34.6542,"C"
"98","Sobrevive","Alta","male","Adulto",63.3583,"C"
"99","Sobrevive","Media","female","Adulto",23,"S"
"100","Muere","Media","male","Adulto",26,"S"
"101","Muere","Baja","female","Adulto",7.8958,"S"
"102","Muere","Baja","male","Adulto",7.8958,"S"
"103","Muere","Alta","male","Adulto",77.2875,"S"
"104","Muere","Baja","male","Adulto",8.6542,"S"
"105","Muere","Baja","male","Adulto",7.925,"S"
"106","Muere","Baja","male","Adulto",7.8958,"S"
"107","Sobrevive","Baja","female","Adulto",7.65,"S"
"108","Sobrevive","Baja","male","Adulto",7.775,"S"
"109","Muere","Baja","male","Adulto",7.8958,"S"
"110","Sobrevive","Baja","female","niño",24.15,"Q"
"111","Muere","Alta","male","Adulto",52,"S"
"112","Muere","Baja","female","niño",14.4542,"C"
"113","Muere","Baja","male","Adulto",8.05,"S"
"114","Muere","Baja","female","Adulto",9.825,"S"
"115","Muere","Baja","female","niño",14.4583,"C"
"116","Muere","Baja","male","Adulto",7.925,"S"
"117","Muere","Baja","male","Adulto",7.75,"Q"
"118","Muere","Media","male","Adulto",21,"S"
"119","Muere","Alta","male","Adulto",247.5208,"C"
"120","Muere","Baja","female","niño",31.275,"S"
"121","Muere","Media","male","Adulto",73.5,"S"
"122","Muere","Baja","male","Adulto",8.05,"S"
"123","Muere","Media","male","Adulto",30.0708,"C"
"124","Sobrevive","Media","female","Adulto",13,"S"
"125","Muere","Alta","male","Adulto",77.2875,"S"
"126","Sobrevive","Baja","male","niño",11.2417,"C"
"127","Muere","Baja","male","Adulto",7.75,"Q"
"128","Sobrevive","Baja","male","Adulto",7.1417,"S"
"129","Sobrevive","Baja","female","niño",22.3583,"C"
"130","Muere","Baja","male","Adulto",6.975,"S"
"131","Muere","Baja","male","Adulto",7.8958,"C"
"132","Muere","Baja","male","Adulto",7.05,"S"
"133","Muere","Baja","female","Adulto",14.5,"S"
"134","Sobrevive","Media","female","Adulto",26,"S"
"135","Muere","Media","male","Adulto",13,"S"
"136","Muere","Media","male","Adulto",15.0458,"C"
"137","Sobrevive","Alta","female","Adulto",26.2833,"S"
"138","Muere","Alta","male","Adulto",53.1,"S"
"139","Muere","Baja","male","niño",9.2167,"S"
"140","Muere","Alta","male","Adulto",79.2,"C"
"141","Muere","Baja","female","Adulto",15.2458,"C"
"142","Sobrevive","Baja","female","Adulto",7.75,"S"
"143","Sobrevive","Baja","female","Adulto",15.85,"S"
"144","Muere","Baja","male","Adulto",6.75,"Q"
"145","Muere","Media","male","niño",11.5,"S"
"146","Muere","Media","male","Adulto",36.75,"S"
"147","Sobrevive","Baja","male","Adulto",7.7958,"S"
"148","Muere","Baja","female","niño",34.375,"S"
"149","Muere","Media","male","Adulto",26,"S"
"150","Muere","Media","male","Adulto",13,"S"
"151","Muere","Media","male","Adulto",12.525,"S"
"152","Sobrevive","Alta","female","Adulto",66.6,"S"
"153","Muere","Baja","male","Adulto",8.05,"S"
"154","Muere","Baja","male","Adulto",14.5,"S"
"155","Muere","Baja","male","Adulto",7.3125,"S"
"156","Muere","Alta","male","Adulto",61.3792,"C"
"157","Sobrevive","Baja","female","niño",7.7333,"Q"
"158","Muere","Baja","male","Adulto",8.05,"S"
"159","Muere","Baja","male","Adulto",8.6625,"S"
"160","Muere","Baja","male","niño",69.55,"S"
"161","Muere","Baja","male","Adulto",16.1,"S"
"162","Sobrevive","Media","female","Adulto",15.75,"S"
"163","Muere","Baja","male","Adulto",7.775,"S"
"164","Muere","Baja","male","niño",8.6625,"S"
"165","Muere","Baja","male","niño",39.6875,"S"
"166","Sobrevive","Baja","male","niño",20.525,"S"
"167","Sobrevive","Alta","female","Adulto",55,"S"
"168","Muere","Baja","female","Adulto",27.9,"S"
"169","Muere","Alta","male","Adulto",25.925,"S"
"170","Muere","Baja","male","Adulto",56.4958,"S"
"171","Muere","Alta","male","Adulto",33.5,"S"
"172","Muere","Baja","male","niño",29.125,"Q"
"173","Sobrevive","Baja","female","niño",11.1333,"S"
"174","Muere","Baja","male","Adulto",7.925,"S"
"175","Muere","Alta","male","Adulto",30.6958,"C"
"176","Muere","Baja","male","niño",7.8542,"S"
"177","Muere","Baja","male","Adulto",25.4667,"S"
"178","Muere","Alta","female","Adulto",28.7125,"C"
"179","Muere","Media","male","Adulto",13,"S"
"180","Muere","Baja","male","Adulto",0,"S"
"181","Muere","Baja","female","niño",69.55,"S"
"182","Muere","Media","male","Adulto",15.05,"C"
"183","Muere","Baja","male","niño",31.3875,"S"
"184","Sobrevive","Media","male","niño",39,"S"
"185","Sobrevive","Baja","female","niño",22.025,"S"
"186","Muere","Alta","male","Adulto",50,"S"
"187","Sobrevive","Baja","female","Adulto",15.5,"Q"
"188","Sobrevive","Alta","male","Adulto",26.55,"S"
"189","Muere","Baja","male","Adulto",15.5,"Q"
"190","Muere","Baja","male","Adulto",7.8958,"S"
"191","Sobrevive","Media","female","Adulto",13,"S"
"192","Muere","Media","male","Adulto",13,"S"
"193","Sobrevive","Baja","female","Adulto",7.8542,"S"
"194","Sobrevive","Media","male","niño",26,"S"
"195","Sobrevive","Alta","female","Adulto",27.7208,"C"
"196","Sobrevive","Alta","female","Adulto",146.5208,"C"
"197","Muere","Baja","male","Adulto",7.75,"Q"
"198","Muere","Baja","male","Adulto",8.4042,"S"
"199","Sobrevive","Baja","female","Adulto",7.75,"Q"
"200","Muere","Media","female","Adulto",13,"S"
"201","Muere","Baja","male","Adulto",9.5,"S"
"202","Muere","Baja","male","niño",69.55,"S"
"203","Muere","Baja","male","Adulto",6.4958,"S"
"204","Muere","Baja","male","Adulto",7.225,"C"
"205","Sobrevive","Baja","male","niño",8.05,"S"
"206","Muere","Baja","female","niño",10.4625,"S"
"207","Muere","Baja","male","Adulto",15.85,"S"
"208","Sobrevive","Baja","male","Adulto",18.7875,"C"
"209","Sobrevive","Baja","female","niño",7.75,"Q"
"210","Sobrevive","Alta","male","Adulto",31,"C"
"211","Muere","Baja","male","Adulto",7.05,"S"
"212","Sobrevive","Media","female","Adulto",21,"S"
"213","Muere","Baja","male","Adulto",7.25,"S"
"214","Muere","Media","male","Adulto",13,"S"
"215","Muere","Baja","male","Adulto",7.75,"Q"
"216","Sobrevive","Alta","female","Adulto",113.275,"C"
"217","Sobrevive","Baja","female","Adulto",7.925,"S"
"218","Muere","Media","male","Adulto",27,"S"
"219","Sobrevive","Alta","female","Adulto",76.2917,"C"
"220","Muere","Media","male","Adulto",10.5,"S"
"221","Sobrevive","Baja","male","niño",8.05,"S"
"222","Muere","Media","male","Adulto",13,"S"
"223","Muere","Baja","male","Adulto",8.05,"S"
"224","Muere","Baja","male","Adulto",7.8958,"S"
"225","Sobrevive","Alta","male","Adulto",90,"S"
"226","Muere","Baja","male","Adulto",9.35,"S"
"227","Sobrevive","Media","male","Adulto",10.5,"S"
"228","Muere","Baja","male","Adulto",7.25,"S"
"229","Muere","Media","male","niño",13,"S"
"230","Muere","Baja","female","Adulto",25.4667,"S"
"231","Sobrevive","Alta","female","Adulto",83.475,"S"
"232","Muere","Baja","male","Adulto",7.775,"S"
"233","Muere","Media","male","Adulto",13.5,"S"
"234","Sobrevive","Baja","female","niño",31.3875,"S"
"235","Muere","Media","male","Adulto",10.5,"S"
"236","Muere","Baja","female","Adulto",7.55,"S"
"237","Muere","Media","male","Adulto",26,"S"
"238","Sobrevive","Media","female","niño",26.25,"S"
"239","Muere","Media","male","Adulto",10.5,"S"
"240","Muere","Media","male","Adulto",12.275,"S"
"241","Muere","Baja","female","Adulto",14.4542,"C"
"242","Sobrevive","Baja","female","Adulto",15.5,"Q"
"243","Muere","Media","male","Adulto",10.5,"S"
"244","Muere","Baja","male","Adulto",7.125,"S"
"245","Muere","Baja","male","Adulto",7.225,"C"
"246","Muere","Alta","male","Adulto",90,"Q"
"247","Muere","Baja","female","Adulto",7.775,"S"
"248","Sobrevive","Media","female","Adulto",14.5,"S"
"249","Sobrevive","Alta","male","Adulto",52.5542,"S"
"250","Muere","Media","male","Adulto",26,"S"
"251","Muere","Baja","male","Adulto",7.25,"S"
"252","Muere","Baja","female","Adulto",10.4625,"S"
"253","Muere","Alta","male","Adulto",26.55,"S"
"254","Muere","Baja","male","Adulto",16.1,"S"
"255","Muere","Baja","female","Adulto",20.2125,"S"
"256","Sobrevive","Baja","female","Adulto",15.2458,"C"
"257","Sobrevive","Alta","female","Adulto",79.2,"C"
"258","Sobrevive","Alta","female","Adulto",86.5,"S"
"259","Sobrevive","Alta","female","Adulto",512.3292,"C"
"260","Sobrevive","Media","female","Adulto",26,"S"
"261","Muere","Baja","male","Adulto",7.75,"Q"
"262","Sobrevive","Baja","male","niño",31.3875,"S"
"263","Muere","Alta","male","Adulto",79.65,"S"
"264","Muere","Alta","male","Adulto",0,"S"
"265","Muere","Baja","female","Adulto",7.75,"Q"
"266","Muere","Media","male","Adulto",10.5,"S"
"267","Muere","Baja","male","niño",39.6875,"S"
"268","Sobrevive","Baja","male","Adulto",7.775,"S"
"269","Sobrevive","Alta","female","Adulto",153.4625,"S"
"270","Sobrevive","Alta","female","Adulto",135.6333,"S"
"271","Muere","Alta","male","Adulto",31,"S"
"272","Sobrevive","Baja","male","Adulto",0,"S"
"273","Sobrevive","Media","female","Adulto",19.5,"S"
"274","Muere","Alta","male","Adulto",29.7,"C"
"275","Sobrevive","Baja","female","Adulto",7.75,"Q"
"276","Sobrevive","Alta","female","Adulto",77.9583,"S"
"277","Muere","Baja","female","Adulto",7.75,"S"
"278","Muere","Media","male","Adulto",0,"S"
"279","Muere","Baja","male","niño",29.125,"Q"
"280","Sobrevive","Baja","female","Adulto",20.25,"S"
"281","Muere","Baja","male","Adulto",7.75,"Q"
"282","Muere","Baja","male","Adulto",7.8542,"S"
"283","Muere","Baja","male","niño",9.5,"S"
"284","Sobrevive","Baja","male","Adulto",8.05,"S"
"285","Muere","Alta","male","Adulto",26,"S"
"286","Muere","Baja","male","Adulto",8.6625,"C"
"287","Sobrevive","Baja","male","Adulto",9.5,"S"
"288","Muere","Baja","male","Adulto",7.8958,"S"
"289","Sobrevive","Media","male","Adulto",13,"S"
"290","Sobrevive","Baja","female","Adulto",7.75,"Q"
"291","Sobrevive","Alta","female","Adulto",78.85,"S"
"292","Sobrevive","Alta","female","Adulto",91.0792,"C"
"293","Muere","Media","male","Adulto",12.875,"C"
"294","Muere","Baja","female","Adulto",8.85,"S"
"295","Muere","Baja","male","Adulto",7.8958,"S"
"296","Muere","Alta","male","Adulto",27.7208,"C"
"297","Muere","Baja","male","Adulto",7.2292,"C"
"298","Muere","Alta","female","niño",151.55,"S"
"299","Sobrevive","Alta","male","Adulto",30.5,"S"
"300","Sobrevive","Alta","female","Adulto",247.5208,"C"
"301","Sobrevive","Baja","female","Adulto",7.75,"Q"
"302","Sobrevive","Baja","male","niño",23.25,"Q"
"303","Muere","Baja","male","Adulto",0,"S"
"304","Sobrevive","Media","female","Adulto",12.35,"Q"
"305","Muere","Baja","male","Adulto",8.05,"S"
"306","Sobrevive","Alta","male","niño",151.55,"S"
"307","Sobrevive","Alta","female","Adulto",110.8833,"C"
"308","Sobrevive","Alta","female","niño",108.9,"C"
"309","Muere","Media","male","Adulto",24,"C"
"310","Sobrevive","Alta","female","Adulto",56.9292,"C"
"311","Sobrevive","Alta","female","Adulto",83.1583,"C"
"312","Sobrevive","Alta","female","niño",262.375,"C"
"313","Muere","Media","female","Adulto",26,"S"
"314","Muere","Baja","male","Adulto",7.8958,"S"
"315","Muere","Media","male","Adulto",26.25,"S"
"316","Sobrevive","Baja","female","Adulto",7.8542,"S"
"317","Sobrevive","Media","female","Adulto",26,"S"
"318","Muere","Media","male","Adulto",14,"S"
"319","Sobrevive","Alta","female","Adulto",164.8667,"S"
"320","Sobrevive","Alta","female","Adulto",134.5,"C"
"321","Muere","Baja","male","Adulto",7.25,"S"
"322","Muere","Baja","male","Adulto",7.8958,"S"
"323","Sobrevive","Media","female","Adulto",12.35,"Q"
"324","Sobrevive","Media","female","Adulto",29,"S"
"325","Muere","Baja","male","niño",69.55,"S"
"326","Sobrevive","Alta","female","Adulto",135.6333,"C"
"327","Muere","Baja","male","Adulto",6.2375,"S"
"328","Sobrevive","Media","female","Adulto",13,"S"
"329","Sobrevive","Baja","female","Adulto",20.525,"S"
"330","Sobrevive","Alta","female","niño",57.9792,"C"
"331","Sobrevive","Baja","female","niño",23.25,"Q"
"332","Muere","Alta","male","Adulto",28.5,"S"
"333","Muere","Alta","male","Adulto",153.4625,"S"
"334","Muere","Baja","male","niño",18,"S"
"335","Sobrevive","Alta","female","Adulto",133.65,"S"
"336","Muere","Baja","male","Adulto",7.8958,"S"
"337","Muere","Alta","male","Adulto",66.6,"S"
"338","Sobrevive","Alta","female","Adulto",134.5,"C"
"339","Sobrevive","Baja","male","Adulto",8.05,"S"
"340","Muere","Alta","male","Adulto",35.5,"S"
"341","Sobrevive","Media","male","niño",26,"S"
"342","Sobrevive","Alta","female","Adulto",263,"S"
"343","Muere","Media","male","Adulto",13,"S"
"344","Muere","Media","male","Adulto",13,"S"
"345","Muere","Media","male","Adulto",13,"S"
"346","Sobrevive","Media","female","Adulto",13,"S"
"347","Sobrevive","Media","female","Adulto",13,"S"
"348","Sobrevive","Baja","female","niño",16.1,"S"
"349","Sobrevive","Baja","male","niño",15.9,"S"
"350","Muere","Baja","male","Adulto",8.6625,"S"
"351","Muere","Baja","male","Adulto",9.225,"S"
"352","Muere","Alta","male","Adulto",35,"S"
"353","Muere","Baja","male","niño",7.2292,"C"
"354","Muere","Baja","male","Adulto",17.8,"S"
"355","Muere","Baja","male","Adulto",7.225,"C"
"356","Muere","Baja","male","Adulto",9.5,"S"
"357","Sobrevive","Alta","female","Adulto",55,"S"
"358","Muere","Media","female","Adulto",13,"S"
"359","Sobrevive","Baja","female","Adulto",7.8792,"Q"
"360","Sobrevive","Baja","female","Adulto",7.8792,"Q"
"361","Muere","Baja","male","Adulto",27.9,"S"
"362","Muere","Media","male","Adulto",27.7208,"C"
"363","Muere","Baja","female","Adulto",14.4542,"C"
"364","Muere","Baja","male","Adulto",7.05,"S"
"365","Muere","Baja","male","Adulto",15.5,"Q"
"366","Muere","Baja","male","Adulto",7.25,"S"
"367","Sobrevive","Alta","female","Adulto",75.25,"C"
"368","Sobrevive","Baja","female","Adulto",7.2292,"C"
"369","Sobrevive","Baja","female","Adulto",7.75,"Q"
"370","Sobrevive","Alta","female","Adulto",69.3,"C"
"371","Sobrevive","Alta","male","Adulto",55.4417,"C"
"372","Muere","Baja","male","niño",6.4958,"S"
"373","Muere","Baja","male","Adulto",8.05,"S"
"374","Muere","Alta","male","Adulto",135.6333,"C"
"375","Muere","Baja","female","niño",21.075,"S"
"376","Sobrevive","Alta","female","Adulto",82.1708,"C"
"377","Sobrevive","Baja","female","Adulto",7.25,"S"
"378","Muere","Alta","male","Adulto",211.5,"C"
"379","Muere","Baja","male","Adulto",4.0125,"C"
"380","Muere","Baja","male","Adulto",7.775,"S"
"381","Sobrevive","Alta","female","Adulto",227.525,"C"
"382","Sobrevive","Baja","female","niño",15.7417,"C"
"383","Muere","Baja","male","Adulto",7.925,"S"
"384","Sobrevive","Alta","female","Adulto",52,"S"
"385","Muere","Baja","male","Adulto",7.8958,"S"
"386","Muere","Media","male","niño",73.5,"S"
"387","Muere","Baja","male","niño",46.9,"S"
"388","Sobrevive","Media","female","Adulto",13,"S"
"389","Muere","Baja","male","Adulto",7.7292,"Q"
"390","Sobrevive","Media","female","niño",12,"C"
"391","Sobrevive","Alta","male","Adulto",120,"S"
"392","Sobrevive","Baja","male","Adulto",7.7958,"S"
"393","Muere","Baja","male","Adulto",7.925,"S"
"394","Sobrevive","Alta","female","Adulto",113.275,"C"
"395","Sobrevive","Baja","female","Adulto",16.7,"S"
"396","Muere","Baja","male","Adulto",7.7958,"S"
"397","Muere","Baja","female","Adulto",7.8542,"S"
"398","Muere","Media","male","Adulto",26,"S"
"399","Muere","Media","male","Adulto",10.5,"S"
"400","Sobrevive","Media","female","Adulto",12.65,"S"
"401","Sobrevive","Baja","male","Adulto",7.925,"S"
"402","Muere","Baja","male","Adulto",8.05,"S"
"403","Muere","Baja","female","Adulto",9.825,"S"
"404","Muere","Baja","male","Adulto",15.85,"S"
"405","Muere","Baja","female","Adulto",8.6625,"S"
"406","Muere","Media","male","Adulto",21,"S"
"407","Muere","Baja","male","Adulto",7.75,"S"
"408","Sobrevive","Media","male","niño",18.75,"S"
"409","Muere","Baja","male","Adulto",7.775,"S"
"410","Muere","Baja","female","Adulto",25.4667,"S"
"411","Muere","Baja","male","Adulto",7.8958,"S"
"412","Muere","Baja","male","Adulto",6.8583,"Q"
"413","Sobrevive","Alta","female","Adulto",90,"Q"
"414","Muere","Media","male","Adulto",0,"S"
"415","Sobrevive","Baja","male","Adulto",7.925,"S"
"416","Muere","Baja","female","Adulto",8.05,"S"
"417","Sobrevive","Media","female","Adulto",32.5,"S"
"418","Sobrevive","Media","female","niño",13,"S"
"419","Muere","Media","male","Adulto",13,"S"
"420","Muere","Baja","female","niño",24.15,"S"
"421","Muere","Baja","male","Adulto",7.8958,"C"
"422","Muere","Baja","male","Adulto",7.7333,"Q"
"423","Muere","Baja","male","Adulto",7.875,"S"
"424","Muere","Baja","female","Adulto",14.4,"S"
"425","Muere","Baja","male","niño",20.2125,"S"
"426","Muere","Baja","male","Adulto",7.25,"S"
"427","Sobrevive","Media","female","Adulto",26,"S"
"428","Sobrevive","Media","female","Adulto",26,"S"
"429","Muere","Baja","male","Adulto",7.75,"Q"
"430","Sobrevive","Baja","male","Adulto",8.05,"S"
"431","Sobrevive","Alta","male","Adulto",26.55,"S"
"432","Sobrevive","Baja","female","niño",16.1,"S"
"433","Sobrevive","Media","female","Adulto",26,"S"
"434","Muere","Baja","male","niño",7.125,"S"
"435","Muere","Alta","male","Adulto",55.9,"S"
"436","Sobrevive","Alta","female","niño",120,"S"
"437","Muere","Baja","female","Adulto",34.375,"S"
"438","Sobrevive","Media","female","Adulto",18.75,"S"
"439","Muere","Alta","male","Adulto",263,"S"
"440","Muere","Media","male","Adulto",10.5,"S"
"441","Sobrevive","Media","female","Adulto",26.25,"S"
"442","Muere","Baja","male","Adulto",9.5,"S"
"443","Muere","Baja","male","Adulto",7.775,"S"
"444","Sobrevive","Media","female","Adulto",13,"S"
"445","Sobrevive","Baja","male","Adulto",8.1125,"S"
"446","Sobrevive","Alta","male","niño",81.8583,"S"
"447","Sobrevive","Media","female","niño",19.5,"S"
"448","Sobrevive","Alta","male","Adulto",26.55,"S"
"449","Sobrevive","Baja","female","niño",19.2583,"C"
"450","Sobrevive","Alta","male","Adulto",30.5,"S"
"451","Muere","Media","male","Adulto",27.75,"S"
"452","Muere","Baja","male","Adulto",19.9667,"S"
"453","Muere","Alta","male","Adulto",27.75,"C"
"454","Sobrevive","Alta","male","Adulto",89.1042,"C"
"455","Muere","Baja","male","Adulto",8.05,"S"
"456","Sobrevive","Baja","male","Adulto",7.8958,"C"
"457","Muere","Alta","male","Adulto",26.55,"S"
"458","Sobrevive","Alta","female","Adulto",51.8625,"S"
"459","Sobrevive","Media","female","Adulto",10.5,"S"
"460","Muere","Baja","male","Adulto",7.75,"Q"
"461","Sobrevive","Alta","male","Adulto",26.55,"S"
"462","Muere","Baja","male","Adulto",8.05,"S"
"463","Muere","Alta","male","Adulto",38.5,"S"
"464","Muere","Media","male","Adulto",13,"S"
"465","Muere","Baja","male","Adulto",8.05,"S"
"466","Muere","Baja","male","Adulto",7.05,"S"
"467","Muere","Media","male","Adulto",0,"S"
"468","Muere","Alta","male","Adulto",26.55,"S"
"469","Muere","Baja","male","Adulto",7.725,"Q"
"470","Sobrevive","Baja","female","niño",19.2583,"C"
"471","Muere","Baja","male","Adulto",7.25,"S"
"472","Muere","Baja","male","Adulto",8.6625,"S"
"473","Sobrevive","Media","female","Adulto",27.75,"S"
"474","Sobrevive","Media","female","Adulto",13.7917,"C"
"475","Muere","Baja","female","Adulto",9.8375,"S"
"476","Muere","Alta","male","Adulto",52,"S"
"477","Muere","Media","male","Adulto",21,"S"
"478","Muere","Baja","male","Adulto",7.0458,"S"
"479","Muere","Baja","male","Adulto",7.5208,"S"
"480","Sobrevive","Baja","female","niño",12.2875,"S"
"481","Muere","Baja","male","niño",46.9,"S"
"482","Muere","Media","male","Adulto",0,"S"
"483","Muere","Baja","male","Adulto",8.05,"S"
"484","Sobrevive","Baja","female","Adulto",9.5875,"S"
"485","Sobrevive","Alta","male","Adulto",91.0792,"C"
"486","Muere","Baja","female","Adulto",25.4667,"S"
"487","Sobrevive","Alta","female","Adulto",90,"S"
"488","Muere","Alta","male","Adulto",29.7,"C"
"489","Muere","Baja","male","Adulto",8.05,"S"
"490","Sobrevive","Baja","male","niño",15.9,"S"
"491","Muere","Baja","male","Adulto",19.9667,"S"
"492","Muere","Baja","male","Adulto",7.25,"S"
"493","Muere","Alta","male","Adulto",30.5,"S"
"494","Muere","Alta","male","Adulto",49.5042,"C"
"495","Muere","Baja","male","Adulto",8.05,"S"
"496","Muere","Baja","male","Adulto",14.4583,"C"
"497","Sobrevive","Alta","female","Adulto",78.2667,"C"
"498","Muere","Baja","male","Adulto",15.1,"S"
"499","Muere","Alta","female","Adulto",151.55,"S"
"500","Muere","Baja","male","Adulto",7.7958,"S"
"501","Muere","Baja","male","niño",8.6625,"S"
"502","Muere","Baja","female","Adulto",7.75,"Q"
"503","Muere","Baja","female","Adulto",7.6292,"Q"
"504","Muere","Baja","female","Adulto",9.5875,"S"
"505","Sobrevive","Alta","female","niño",86.5,"S"
"506","Muere","Alta","male","niño",108.9,"C"
"507","Sobrevive","Media","female","Adulto",26,"S"
"508","Sobrevive","Alta","male","Adulto",26.55,"S"
"509","Muere","Baja","male","Adulto",22.525,"S"
"510","Sobrevive","Baja","male","Adulto",56.4958,"S"
"511","Sobrevive","Baja","male","Adulto",7.75,"Q"
"512","Muere","Baja","male","Adulto",8.05,"S"
"513","Sobrevive","Alta","male","Adulto",26.2875,"S"
"514","Sobrevive","Alta","female","Adulto",59.4,"C"
"515","Muere","Baja","male","Adulto",7.4958,"S"
"516","Muere","Alta","male","Adulto",34.0208,"S"
"517","Sobrevive","Media","female","Adulto",10.5,"S"
"518","Muere","Baja","male","Adulto",24.15,"Q"
"519","Sobrevive","Media","female","Adulto",26,"S"
"520","Muere","Baja","male","Adulto",7.8958,"S"
"521","Sobrevive","Alta","female","Adulto",93.5,"S"
"522","Muere","Baja","male","Adulto",7.8958,"S"
